placeID,parking_lot1,parking_lot2,count
132565,none,,1
132676,none,,1
132692,yes,,1
132709,public,,1
132969,public,,1
132993,none,,1
134999,none,,1
132735,public,,1
132746,public,,1
132893,none,,1
132930,none,,1
132936,none,,1
133032,none,,1
135067,none,,1
135101,public,,1
135105,none,,1
132302,yes,,1
132672,none,,1
132763,public,,1
132810,none,,1
132811,yes,,1
132902,none,,1
132982,none,,1
132159,public,,1
132491,public,street,2
132585,yes,,1
132594,public,,1
132839,none,,1
135040,yes,,1
135082,none,,1
132568,none,,1
132624,yes,,1
132651,none,,1
132679,none,,1
132849,none,,1
132998,none,,1
132392,public,,1
132586,yes,,1
132628,none,,1
132653,yes,,1
132855,none,,1
132933,none,,1
132977,none,,1
133017,none,,1
135043,none,,1
135086,yes,,1
132449,public,street,2
132608,public,,1
132675,none,,1
132967,public,,1
135004,none,,1
135074,public,,1
135084,yes,,1
132396,public,,2
132557,public,street,2
132567,none,,1
132693,yes,,1
132740,none,,1
132741,public,,1
132764,public,,1
132813,none,,1
132913,none,,1
132984,none,,1
135057,yes,,1
132926,none,,1
133007,none,,1
135106,none,,1
132160,public,,1
132637,none,,1
132648,none,,1
132658,yes,,1
132661,none,,1
132727,yes,,1
133020,none,,1
135015,none,,1
135029,none,,1
132744,none,,1
132782,yes,,1
132790,Yes,valet parking,1
132439,public,,1
132610,yes,,1
132825,none,,1
132917,none,,1
134995,none,,1
135007,none,,1
132629,yes,,1
132762,none,,1
132841,none,,1
132880,yes,,1
132024,public,,1
132742,none,,1
132798,public,,1
132894,none,,1
133001,none,,1
132155,public,,2
132645,yes,,1
132682,yes,,1
132757,none,,1
132895,none,,1
135031,yes,,1
135079,none,,1
132780,public,,1
132916,none,,1
132578,none,,1
132609,yes,,1
132681,public,,1
132700,yes,,1
132898,none,,1
135065,none,,1
132564,none,,1
132611,yes,,1
132612,yes,,1
132716,none,,1
132771,yes,,1
132788,yes,,1
132869,yes,,1
132923,none,,1
132976,none,,1
132994,none,,1
134973,none,,1
135011,none,,1
135042,none,,1
132204,public,street,2
132237,yes,,1
132481,public,street,2
132618,public,,1
132978,none,,1
133010,yes,,1
133018,none,,1
132632,none,,1
132911,none,,1
132956,none,,1
133003,none,,1
133047,yes,,1
132535,public,,1
132733,yes,,1
132992,none,,1
133048,yes,,1
135080,none,,1
135107,none,,1
132666,none,,1
132827,none,,1
132974,none,,1
132981,none,,1
132484,yes,,1
132717,public,,1
132754,none,,1
133013,none,,1
135000,none,,1
135089,yes,,1
132231,public,,1
132691,yes,,1
132736,yes,,1
132836,none,,1
132878,none,,1
133031,none,,1
134986,yes,,1
135081,none,,1
132483,public,,2
132588,public,,1
132591,none,,1
132650,yes,,1
132830,none,,1
132844,none,,1
132904,none,,1
132999,none,,1
135058,public,,1
132570,none,,1
132702,public,,1
132781,public,,1
132865,yes,,1
132888,yes,,1
132897,none,,1
132946,public,,1
132948,none,,1
132986,none,,1
133002,none,,1
135002,none,,1
132719,none,,1
132759,none,,1
132765,none,,1
132812,none,,1
132905,none,,1
132935,none,,1
134980,none,,1
135019,none,,1
135045,yes,,1
132333,Yes,valet parking,1
132583,none,,1
132623,none,,1
132662,none,,1
132873,none,,1
132919,none,,1
132468,none,,1
132843,public,,1
132697,yes,,1
135098,Yes,valet parking,1
132767,yes,,1
132774,yes,,1
132793,Yes,valet parking,1
132927,none,,1
132961,none,,1
132963,none,,1
134981,none,,1
135077,yes,,1
132631,none,,1
132640,yes,,1
132823,none,,1
132858,none,,1
132877,none,,1
133024,none,,1
134974,yes,,1
132157,yes,,1
132479,public,,1
132795,none,,1
132822,none,,1
132824,yes,,1
132868,public,,1
132922,none,,1
132975,none,,1
135108,none,,1
132593,public,,1
132656,none,,1
132722,public,,1
133008,yes,,1
133037,none,,1
132399,public,,2
132724,yes,,1
132796,yes,,1
132829,none,,1
132947,none,,1
135034,none,,1
132652,none,,1
132689,yes,,1
132704,public,,1
132867,yes,,1
132972,none,,1
133039,none,,1
135005,none,,1
132030,public,,1
132443,public,,1
132596,none,,1
132625,yes,,1
132753,public,,1
132820,public,,1
132891,none,,1
132906,none,,1
135025,none,,1
135110,none,,1
132164,public,,1
132566,none,,1
132633,none,,1
132881,none,,1
132925,none,,1
133036,none,,1
135088,public,,1
132478,public,,2
132664,none,,1
132803,none,,1
132861,yes,,1
132863,yes,,1
132914,none,,1
132915,none,,1
134987,none,,1
135010,none,,1
135047,yes,,1
132680,public,,1
132703,none,,1
132908,none,,1
132924,none,,1
134998,yes,,1
135001,yes,,1
135023,none,,1
132184,public,,2
132871,public,,1
135037,yes,,1
135053,yes,,1
135094,public,,1
132577,none,,1
132607,none,,1
132635,Yes,valet parking,1
132649,none,,1
132710,public,,1
132580,none,,1
132646,none,,1
132856,none,,1
134997,none,,1
135027,none,,1
135100,none,,1
132560,public,,1
132576,none,,1
132599,public,,1
132840,none,,1
132892,yes,,1
133019,none,,1
135072,none,,1
132355,public,street,2
132589,yes,,1
132657,none,,1
132851,yes,,1
132931,none,,1
132220,public,,1
132688,none,,1
132938,none,,1
132965,public,,1
133042,none,,1
135009,none,,1
132659,none,,1
132671,none,,1
132718,none,,1
132786,Yes,valet parking,1
132964,none,,1
135075,yes,,1
132023,public,,2
132026,public,,1
132243,public,valet parking,3
132582,yes,,1
132826,public,,1
133028,none,,1
132598,yes,,1
132602,public,,1
132642,none,,1
132807,yes,,1
132846,none,,1
132960,yes,,1
133009,yes,,1
132687,yes,,1
132784,Yes,valet parking,1
132970,none,,1
135052,none,,1
132690,none,,1
132939,none,,1
132945,none,,1
133012,none,,1
133029,yes,,1
133030,none,,1
135078,yes,,1
132821,yes,,1
132857,none,,1
132884,none,,1
134989,yes,,1
135030,none,,1
135046,yes,,1
132161,public,,1
132563,none,,1
132572,yes,,1
132597,public,,1
132604,none,,1
132643,none,,1
132962,none,,1
134988,Yes,valet parking,1
135103,Yes,valet parking,1
132739,public,,1
132801,yes,,1
132875,Yes,valet parking,1
132979,none,,1
135060,none,,1
132579,none,,1
132794,none,,1
132802,none,,1
132845,none,,1
132872,public,,1
132944,none,,1
134993,none,,1
135091,public,,1
132617,yes,,1
132698,public,,1
132701,public,,1
132951,yes,,1
135016,none,,1
135068,yes,,1
135109,none,,1
132600,public,,1
132707,public,,1
132850,yes,,1
132920,none,,1
135056,none,,1
135061,yes,,1
132289,Yes,valet parking,2
132575,yes,,1
132654,none,,1
132723,public,,1
132937,none,,1
132953,yes,,1
132595,none,,1
132696,public,,1
132864,public,,1
132971,none,,1
133006,none,,1
133011,none,,1
135051,none,,1
132297,public,street,2
132606,none,,1
132832,none,,1
132837,none,,1
132859,yes,,1
132899,none,,1
135003,yes,,1
135048,yes,,1
132531,public,street,2
132619,yes,,1
132732,none,,1
132776,none,,1
134975,Yes,valet parking,1
135013,none,,1
135041,none,,1
132674,none,,1
132685,yes,,1
132777,public,,1
132876,none,,1
132940,none,,1
133022,none,,1
133040,none,,1
134971,yes,,1
132409,public,street,2
132684,yes,,1
132791,Yes,valet parking,1
132968,yes,,1
132983,none,,1
134985,yes,,1
135017,none,,1
135071,yes,,1
132705,public,,1
132737,public,,1
132747,yes,,1
132954,yes,,1
133000,none,,1
135054,yes,,1
132177,yes,,1
132641,none,,1
132667,none,,1
132695,yes,,1
132770,yes,,1
132955,none,,1
132721,none,,1
132743,none,,1
132842,none,,1
132862,Yes,valet parking,1
135008,yes,,1
132620,public,,1
132630,none,,1
132655,yes,,1
132834,public,,1
132885,public,,1
135093,yes,,1
132545,public,,1
132711,public,,1
132745,yes,,1
132934,none,,1
135069,yes,,1
132207,public,,1
132887,Yes,valet parking,1
134982,none,,1
134984,yes,,1
135059,yes,,1
135102,Yes,valet parking,1
132182,yes,,1
132734,none,,1
132817,public,,1
135021,public,,1
135070,yes,,1
